Licensed in,FL,Seasons,Seasons URL,Wins,WCC,WDC,Races Entered,Licensed in URL,Drivers URL,Constructor,Points,Podiums,Total Entries,Constructor URL,Races Started,Drivers,Poles
United Kingdom,0,1997 – 1999,https://en.wikipedia.org/wiki/1997_Formula_One_World_Championship,1,0,0,49,https://en.wikipedia.org/wiki/United_Kingdom,,Stewart,47,5,98,https://en.wikipedia.org/wiki/Stewart_Grand_Prix,49,4,1
Japan,0,2006 – 2008,https://en.wikipedia.org/wiki/2006_Formula_One_World_Championship,0,0,0,39,https://en.wikipedia.org/wiki/Japan,,Super Aguri,4,0,39,https://en.wikipedia.org/wiki/Super_Aguri,39,5,0
United Kingdom,3,1970 – 1978,https://en.wikipedia.org/wiki/1970_Formula_One_season,0,0,0,119,https://en.wikipedia.org/wiki/United_Kingdom,,Surtees,53,2,260,https://en.wikipedia.org/wiki/Surtees_Racing_Organisation,118,38,0
Italy,0,1950,https://en.wikipedia.org/wiki/1950_Formula_One_season,0,n/a,0,1,https://en.wikipedia.org/wiki/Italy,,SVA,n/a,0,1,https://en.wikipedia.org/wiki/Societ%C3%A0_Valdostana_Automobili,0,1,0
France,0,1950 – 1951,https://en.wikipedia.org/wiki/1950_Formula_One_season,0,n/a,0,13,https://en.wikipedia.org/wiki/France,,Talbot-Lago,n/a,2,81,https://en.wikipedia.org/wiki/Talbot-Lago,13,18,0
United States,0,1959,https://en.wikipedia.org/wiki/1959_Formula_One_season,0,0,0,1,https://en.wikipedia.org/wiki/United_States,,Tec-Mec,0,0,1,https://en.wikipedia.org/wiki/Tec-Mec,1,1,0
Italy,0,1972 – 1973,https://en.wikipedia.org/wiki/1972_Formula_One_season,0,0,0,12,https://en.wikipedia.org/wiki/Italy,,Tecno,1,0,14,https://en.wikipedia.org/wiki/Tecno_(motorsport),10,3,0
Hong Kong,0,"1978 , 1981 – 1983",https://en.wikipedia.org/wiki/1978_Formula_One_season,0,0,0,51,https://en.wikipedia.org/wiki/Hong_Kong,,Theodore,2,0,64,https://en.wikipedia.org/wiki/Theodore_Racing,34,10,0
United Kingdom,0,1974,https://en.wikipedia.org/wiki/1974_Formula_One_season,0,0,0,4,https://en.wikipedia.org/wiki/United_Kingdom,,Token,0,0,4,https://en.wikipedia.org/wiki/Token_Racing,3,3,0
United Kingdom,2,1981 – 1985,https://en.wikipedia.org/wiki/1981_Formula_One_World_Championship,0,0,0,70,https://en.wikipedia.org/wiki/United_Kingdom,,Toleman,26,3,131,https://en.wikipedia.org/wiki/Toleman,53,9,1
Italy,1,2006 – 2019,https://en.wikipedia.org/wiki/2006_Formula_One_World_Championship,1,0,0,268,https://en.wikipedia.org/wiki/Italy,,Toro Rosso,500,3,536,https://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,268,14,1
Japan,3,2002 – 2009,https://en.wikipedia.org/wiki/2002_Formula_One_World_Championship,0,0,0,140,https://en.wikipedia.org/wiki/Japan,,Toyota,278.5,13,276,https://en.wikipedia.org/wiki/Toyota_F1,139,9,3
United Kingdom,0,1974,https://en.wikipedia.org/wiki/1974_Formula_One_season,0,0,0,8,https://en.wikipedia.org/wiki/United_Kingdom,,Trojan,0,0,8,https://en.wikipedia.org/wiki/Trojan%E2%80%93Tauranac_Racing,6,1,0
United Kingdom,20,1970 – 1998,https://en.wikipedia.org/wiki/1970_Formula_One_season,23,1,2,433,https://en.wikipedia.org/wiki/United_Kingdom,,Tyrrell,617,77,884,https://en.wikipedia.org/wiki/Tyrrell_Racing,430,47,14
United Kingdom,6,1954 – 1960,https://en.wikipedia.org/wiki/1954_Formula_One_season,9,1,0,29,https://en.wikipedia.org/wiki/United_Kingdom,,Vanwall,48,13,66,https://en.wikipedia.org/wiki/Vanwall,28,12,7
France,0,1992,https://en.wikipedia.org/wiki/1992_Formula_One_World_Championship,0,0,0,16,https://en.wikipedia.org/wiki/France,,Venturi,1,0,32,https://en.wikipedia.org/wiki/Venturi_Automobiles,16,2,0
Germany,0,1951 – 1953,https://en.wikipedia.org/wiki/1951_Formula_One_season,0,n/a,0,6,https://en.wikipedia.org/wiki/Germany,,Veritas,n/a,0,18,https://en.wikipedia.org/wiki/Veritas_(automobile),6,15,0
"United Kingdom , Russia",0,2010 – 2011,https://en.wikipedia.org/wiki/2010_Formula_One_World_Championship,0,0,0,38,https://en.wikipedia.org/wiki/United_Kingdom,,Virgin,0,0,76,https://en.wikipedia.org/wiki/Virgin_Racing,38,3,0
Canada,2,1977 – 1979,https://en.wikipedia.org/wiki/1977_Formula_One_season,3,0,0,48,https://en.wikipedia.org/wiki/Canada,,Wolf (Walter Wolf Racing),79,13,54,https://en.wikipedia.org/wiki/Walter_Wolf_Racing,47,4,1
Germany,0,1985 – 1989,https://en.wikipedia.org/wiki/1985_Formula_One_World_Championship,0,0,0,74,https://en.wikipedia.org/wiki/Germany,,Zakspeed,2,0,136,https://en.wikipedia.org/wiki/Zakspeed,54,7,0
Licensed in,FL,Seasons,https://en.wikipedia.org/wiki/List_of_Formula_One_Grands_Prix,Wins,WCC,WDC,Races Entered,,https://en.wikipedia.org/wiki/List_of_Formula_One_drivers,Constructor,Points,Podiums,Total Entries,,Races Started,Drivers,Poles
